Sample,Index,File,Origin,URL,Notes
bass,0,000-bass.wav,Haddeo stem files,http://heskinradiophonic.co.uk,
bass2,0,Super_BassStation_04(C1).wav,Computer Music magazine (special issue 68),,Bass Boutique -> Groove Criminals -> Bass_Singles
bass2,1,Super_BassStation_04(C2).wav,Computer Music magazine (special issue 68),,Bass Boutique -> Groove Criminals -> Bass_Singles
dorr,0,Dorr.wav,SampleRadar: 464 free sci-fi samples,http://www.musicradar.com/news/tech/sampleradar-464-free-sci-fi-samples-632239,FX
drum,0,000-kick.wav,Haddeo stem files,http://heskinradiophonic.co.uk,
drum,1,001-boomkick.wav,Haddeo stem files,http://heskinradiophonic.co.uk,
duck,0,Duck call 03.wav,SampleRadar: 464 free cartoon caper samples,http://www.musicradar.com/news/tech/sampleradar-464-free-cartoon-caper-samples-643188,Foley Fx
duck,1,Duck call 07.wav,SampleRadar: 464 free cartoon caper samples,http://www.musicradar.com/news/tech/sampleradar-464-free-cartoon-caper-samples-643188,Foley Fx
duon,0,000-duon1.wav,SampleRadar: 462 free atmospheric samples,http://www.musicradar.com/news/tech/sampleradar-462-free-atmospheric-samples-224397,Textures -> Duons.wav
duon,1,001-duon2.wav,SampleRadar: 462 free atmospheric samples,http://www.musicradar.com/news/tech/sampleradar-462-free-atmospheric-samples-224397,Textures -> Duons.wav
icarus,0,000-icarus.wav,Haddeo stem files,http://heskinradiophonic.co.uk,
icarus,0,001-icarus-long.wav,Haddeo stem files,http://heskinradiophonic.co.uk,
kit,0,000-hat.wav,Haddeo stem files,http://heskinradiophonic.co.uk,
kit,1,001-perc.wav,Haddeo stem files,http://heskinradiophonic.co.uk,
kit,2,002-perc.wav,Haddeo stem files,http://heskinradiophonic.co.uk,
kit,3,003-rev.wav,Haddeo stem files,http://heskinradiophonic.co.uk,
nimble,0,000-nimble.wav,Haddeo stem files,http://heskinradiophonic.co.uk,
nimble,1,001-nimble.wav,Haddeo stem files,http://heskinradiophonic.co.uk,
sine,0,000-sine-bass.wav,Haddeo stem files,http://heskinradiophonic.co.uk,
sn,0,CYCdh_K4-Snr05.wav,Computer Music magazine (special issue 68),,1000 Drum Samples -> Drum Kits -> Kit 13 - Acoustic
sn,1,CYCdh_K4-Snr06.wav,Computer Music magazine (special issue 68),,1000 Drum Samples -> Drum Kits -> Kit 13 - Acoustic
snoo,0,Snoover A2.wav,SampleRadar: 352 free chillout samples,http://www.musicradar.com/news/tech/sampleradar-352-free-chillout-samples-506250,Keys -> Snoover -> Notes
snoo,1,Snoover B2.wav,SampleRadar: 352 free chillout samples,http://www.musicradar.com/news/tech/sampleradar-352-free-chillout-samples-506250,Keys -> Snoover -> Notes
snoo,2,Snoover C2.wav,SampleRadar: 352 free chillout samples,http://www.musicradar.com/news/tech/sampleradar-352-free-chillout-samples-506250,Keys -> Snoover -> Notes
snoo,3,Snoover D2.wav,SampleRadar: 352 free chillout samples,http://www.musicradar.com/news/tech/sampleradar-352-free-chillout-samples-506250,Keys -> Snoover -> Notes
snoo,4,Snoover E2.wav,SampleRadar: 352 free chillout samples,http://www.musicradar.com/news/tech/sampleradar-352-free-chillout-samples-506250,Keys -> Snoover -> Notes
snoo,5,Snoover F2.wav,SampleRadar: 352 free chillout samples,http://www.musicradar.com/news/tech/sampleradar-352-free-chillout-samples-506250,Keys -> Snoover -> Notes
snoo,6,Snoover G2.wav,SampleRadar: 352 free chillout samples,http://www.musicradar.com/news/tech/sampleradar-352-free-chillout-samples-506250,Keys -> Snoover -> Notes
tubal,0,000-tubal.wav,SampleRadar: 338 free FX samples,http://www.musicradar.com/news/tech/sampleradar-338-free-fx-samples-287277,Synth Noises -> Tubal-01.wav
